problem,std_term_i,std_term_j,leg_term_i,leg_term_j,corr_std,corr_leg
Heat,u^5,u^6u_xxx,P5(u),P6(u)u_xxx,-0.1302,-0.021
Heat,u^5,u_xxxx,P5(u),P0(u)u_xxxx,0.043,0.0023
Heat,u^5,uu_xxxx,P5(u),P1(u)u_xxxx,0.0387,0.0335
Heat,u^5,u^2u_xxxx,P5(u),P2(u)u_xxxx,0.8947,0.6938
Heat,u^5,u^3u_xxxx,P5(u),P3(u)u_xxxx,0.792,0.2165
Heat,u^5,u^4u_xxxx,P5(u),P4(u)u_xxxx,0.9775,-0.9175
Heat,u^5,u^5u_xxxx,P5(u),P5(u)u_xxxx,0.8597,-0.2008
Heat,u^5,u^6u_xxxx,P5(u),P6(u)u_xxxx,0.9864,0.8565
Heat,u^5,u_xxxxx,P5(u),P0(u)u_xxxxx,0.0142,-0.0206
Heat,u^5,uu_xxxxx,P5(u),P1(u)u_xxxxx,0.0279,-0.0138
Heat,u^5,u^2u_xxxxx,P5(u),P2(u)u_xxxxx,0.0388,0.0128
Heat,u^5,u^3u_xxxxx,P5(u),P3(u)u_xxxxx,0.041,0.0137
Heat,u^5,u^4u_xxxxx,P5(u),P4(u)u_xxxxx,0.0395,-0.0021
Heat,u^5,u^5u_xxxxx,P5(u),P5(u)u_xxxxx,0.036,-0.0126
Heat,u^5,u^6u_xxxxx,P5(u),P6(u)u_xxxxx,0.0341,0.0155
Heat,u^5,u_xxxxxx,P5(u),P0(u)u_xxxxxx,-0.0072,-0.0015
Heat,u^5,uu_xxxxxx,P5(u),P1(u)u_xxxxxx,-0.0237,-0.0221
Heat,u^5,u^2u_xxxxxx,P5(u),P2(u)u_xxxxxx,-0.8907,-0.6894
Heat,u^5,u^3u_xxxxxx,P5(u),P3(u)u_xxxxxx,-0.789,-0.2154
Heat,u^5,u^4u_xxxxxx,P5(u),P4(u)u_xxxxxx,-0.9748,0.9193
Heat,u^5,u^5u_xxxxxx,P5(u),P5(u)u_xxxxxx,-0.8568,0.1996
Heat,u^5,u^6u_xxxxxx,P5(u),P6(u)u_xxxxxx,-0.9833,-0.8504
Heat,u^6,u_x,P6(u),P0(u)u_x,-0.0035,0.0037
Heat,u^6,uu_x,P6(u),P1(u)u_x,-0.0066,0.004
Heat,u^6,u^2u_x,P6(u),P2(u)u_x,-0.0066,-0.0081
Heat,u^6,u^3u_x,P6(u),P3(u)u_x,-0.0083,-0.0043
Heat,u^6,u^4u_x,P6(u),P4(u)u_x,-0.0088,0.0157
Heat,u^6,u^5u_x,P6(u),P5(u)u_x,-0.0108,0.0023
Heat,u^6,u^6u_x,P6(u),P6(u)u_x,-0.0115,-0.0156
Heat,u^6,u_xx,P6(u),P0(u)u_xx,-0.3199,0.1457
Heat,u^6,uu_xx,P6(u),P1(u)u_xx,-0.5999,-0.5838
Heat,u^6,u^2u_xx,P6(u),P2(u)u_xx,-0.7078,-0.2089
Heat,u^6,u^3u_xx,P6(u),P3(u)u_xx,-0.9519,-0.8218
Heat,u^6,u^4u_xx,P6(u),P4(u)u_xx,-0.8385,0.1893
Heat,u^6,u^5u_xx,P6(u),P5(u)u_xx,-0.9877,0.9279
Heat,u^6,u^6u_xx,P6(u),P6(u)u_xx,-0.8979,-0.1483
Heat,u^6,u_xxx,P6(u),P0(u)u_xxx,-0.0628,0.0009
Heat,u^6,uu_xxx,P6(u),P1(u)u_xxx,-0.1514,-0.047
Heat,u^6,u^2u_xxx,P6(u),P2(u)u_xxx,-0.17,-0.0147
Heat,u^6,u^3u_xxx,P6(u),P3(u)u_xxx,-0.1898,0.0243
Heat,u^6,u^4u_xxx,P6(u),P4(u)u_xxx,-0.177,0.0095
Heat,u^6,u^5u_xxx,P6(u),P5(u)u_xxx,-0.163,0.0053
Heat,u^6,u^6u_xxx,P6(u),P6(u)u_xxx,-0.1362,0.0099
Heat,u^6,u_xxxx,P6(u),P0(u)u_xxxx,0.0177,-0.0299
Heat,u^6,uu_xxxx,P6(u),P1(u)u_xxxx,0.0844,0.0875
Heat,u^6,u^2u_xxxx,P6(u),P2(u)u_xxxx,0.685,0.1558
Heat,u^6,u^3u_xxxx,P6(u),P3(u)u_xxxx,0.9366,0.8401
Heat,u^6,u^4u_xxxx,P6(u),P4(u)u_xxxx,0.8286,-0.1657
Heat,u^6,u^5u_xxxx,P6(u),P5(u)u_xxxx,0.9787,-0.9419
Heat,u^6,u^6u_xxxx,P6(u),P6(u)u_xxxx,0.891,0.1115
Heat,u^6,u_xxxxx,P6(u),P0(u)u_xxxxx,0.0145,-0.0065
Heat,u^6,uu_xxxxx,P6(u),P1(u)u_xxxxx,0.0355,0.001
Heat,u^6,u^2u_xxxxx,P6(u),P2(u)u_xxxxx,0.0413,0.0112
Heat,u^6,u^3u_xxxxx,P6(u),P3(u)u_xxxxx,0.048,0.007
Heat,u^6,u^4u_xxxxx,P6(u),P4(u)u_xxxxx,0.0439,0.0012
Heat,u^6,u^5u_xxxxx,P6(u),P5(u)u_xxxxx,0.0433,-0.0065
Heat,u^6,u^6u_xxxxx,P6(u),P6(u)u_xxxxx,0.0377,-0.0057
Heat,u^6,u_xxxxxx,P6(u),P0(u)u_xxxxxx,-0.0039,0.0045
Heat,u^6,uu_xxxxxx,P6(u),P1(u)u_xxxxxx,-0.047,-0.0417
Heat,u^6,u^2u_xxxxxx,P6(u),P2(u)u_xxxxxx,-0.6821,-0.1518
Heat,u^6,u^3u_xxxxxx,P6(u),P3(u)u_xxxxxx,-0.9312,-0.838
Heat,u^6,u^4u_xxxxxx,P6(u),P4(u)u_xxxxxx,-0.8261,0.1646
Heat,u^6,u^5u_xxxxxx,P6(u),P5(u)u_xxxxxx,-0.9745,0.9422
Heat,u^6,u^6u_xxxxxx,P6(u),P6(u)u_xxxxxx,-0.8879,-0.1084
Heat,u_x,uu_x,P0(u)u_x,P1(u)u_x,0.2645,-0.0863
Heat,u_x,u^2u_x,P0(u)u_x,P2(u)u_x,0.8028,-0.9611
Heat,u_x,u^3u_x,P0(u)u_x,P3(u)u_x,0.3308,0.0969
Heat,u_x,u^4u_x,P0(u)u_x,P4(u)u_x,0.6414,0.5958
Heat,u_x,u^5u_x,P0(u)u_x,P5(u)u_x,0.3493,-0.1145
Heat,u_x,u^6u_x,P0(u)u_x,P6(u)u_x,0.534,-0.1091
Heat,u_x,u_xx,P0(u)u_x,P0(u)u_xx,-0.0,-0.0
Heat,u_x,uu_xx,P0(u)u_x,P1(u)u_xx,0.0475,0.0464
Heat,u_x,u^2u_xx,P0(u)u_x,P2(u)u_xx,0.0114,0.0099
Heat,u_x,u^3u_xx,P0(u)u_x,P3(u)u_xx,0.0138,-0.0211
Heat,u_x,u^4u_xx,P0(u)u_x,P4(u)u_xx,0.0109,-0.0084
Heat,u_x,u^5u_xx,P0(u)u_x,P5(u)u_xx,0.0091,0.0075
Heat,u_x,u^6u_xx,P0(u)u_x,P6(u)u_xx,0.0095,0.0034
Heat,u_x,u_xxx,P0(u)u_x,P0(u)u_xxx,-0.6595,-0.6595
