problem,D,P,algorithm,task,term,true_value,estimated,rel_error_pct,variance,pip,is_true_term
Nagumo,6,6,VB_Alg2,Drift,u^5,,-1.097786,,0.020105350581582804,1.0,False
Nagumo,6,6,VB_Alg2,Drift,u_xx,1.0,0.977431,-2.3,0.0003754937065118783,1.0,True
Nagumo,6,6,VB_Alg1,Drift,1,,0.010863,,0.0017365819065494274,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u,0.5,0.612816,22.6,0.03788108116627684,1.0,True
Nagumo,6,6,VB_Alg1,Drift,u^2,0.5,0.5484,9.7,0.3771881102969951,1.0,True
Nagumo,6,6,VB_Alg1,Drift,u^3,-1.0,-1.552842,-55.3,1.6600668205037141,1.0,True
Nagumo,6,6,VB_Alg1,Drift,u^4,,1.080919,,5.383926197635833,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^5,,0.587131,,2.9678639452614695,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^6,,-1.969173,,5.134441444855893,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u_x,,0.081478,,0.0036959149084209264,0.9999999999755398,False
Nagumo,6,6,VB_Alg1,Drift,u^2u_x,,-0.930221,,1.3084501518848677,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^4u_x,,0.750458,,12.018944172480456,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^6u_x,,0.583009,,8.343243682840793,0.9999993239609076,False
Nagumo,6,6,VB_Alg1,Drift,u_xx,1.0,0.968901,-3.1,0.0013054054884093932,1.0,True
Nagumo,6,6,VB_Alg1,Drift,uu_xx,,0.213187,,0.18795530292698082,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^2u_xx,,0.639482,,0.933291383070643,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^3u_xx,,0.049454,,4.904287012951913,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^4u_xx,,-2.289166,,7.896765774208288,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^5u_xx,,-0.469837,,5.76728522962082,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^6u_xx,,2.689894,,4.8348919326318605,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u_xxx,,0.061241,,0.0006813287658135281,0.9999999993863837,False
Nagumo,6,6,VB_Alg1,Drift,uu_xxx,,-0.16864,,0.03304600125897252,0.9999999999996219,False
Nagumo,6,6,VB_Alg1,Drift,u^2u_xxx,,-0.606201,,0.27751512878559126,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^3u_xxx,,1.216369,,0.9944594301058403,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^4u_xxx,,1.193946,,2.805729743895999,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^5u_xxx,,-1.434586,,0.943099567318754,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^6u_xxx,,-1.001877,,1.3689564960950757,1.0,False
Nagumo,6,6,VB_Alg1,Drift,uu_xxxx,,0.038697,,0.002819424237535587,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^2u_xxxx,,0.00711,,0.013940710249007832,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^3u_xxxx,,-0.040946,,0.05670806897832005,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^4u_xxxx,,-0.014324,,0.11887453546211971,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^5u_xxxx,,0.040329,,0.054739149442608236,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^6u_xxxx,,0.115239,,0.06049125898921784,1.0,False
Nagumo,6,6,VB_Alg1,Drift,uu_xxxxx,,-0.009148,,5.6928391369940905e-05,0.9999999999978488,False
Nagumo,6,6,VB_Alg1,Drift,u^2u_xxxxx,,-0.005724,,0.00030759178429566895,0.9999999999932061,False
Nagumo,6,6,VB_Alg1,Drift,u^3u_xxxxx,,0.046386,,0.001475222669230898,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^4u_xxxxx,,0.025097,,0.003580817870683561,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^5u_xxxxx,,-0.049421,,0.0013299816951206113,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^6u_xxxxx,,-0.041164,,0.0017666800117801765,1.0,False
Nagumo,6,6,VB_Alg1,Drift,uu_xxxxxx,,0.001071,,1.5892085941178926e-06,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^2u_xxxxxx,,-0.000174,,8.106237235133214e-06,1.0,False
Nagumo,6,6,VB_Alg1,Drift,u^3u_xxxxxx,,-0.001331,,2.9576736563214635e-05,1.0,False
